Country,Latitude,Longitude
"Antigua and Barbuda",17.07913,-61.82225
"American Samoa",-14.30063,-170.696
"Angola",-11.87758,17.56912
"Algeria",28.00003,2.999983
"Albania",41.00003,19.99996
"Andorra",42.54072,1.573203
"Bahrain",26.15512,50.53446
"Azerbaijan",40.39363,47.78725
"Bangladesh",24.47686,90.29323
"Bahamas, The",24.77365,-78.00005
"Armenia",40.76963,44.67366
"Aruba",12.4903,-69.96098
"Argentina",-34.9965,-64.96729
"Australia",-24.77611,134.755
"Austria",47.20004,13.19996
"Palau",6.097367,133.3136
"Bhutan",27.54951,90.51192
"British Virgin Islands",18.40244,-64.56616
"Bosnia and Herzegovina",44.30535,17.59615
"Belgium",50.64028,4.666715
"Brunei Darussalam",4.413715,114.5654
"Belize",16.82598,-88.76009
"Botswana",-23.16818,24.59287
"Benin",9.529347,2.258441
"Burkina Faso",12.07531,-1.688031
"Barbados",13.15003,-59.52503
"Belarus",53.42506,27.69714
"Bermuda",32.30182,-64.76036
"Brazil",-10.33333,-53.2
"Burundi",-3.363436,29.88706
"Bolivia",-17.05687,-64.99123
"Slovak Republic",48.74115,19.45286
"Cameroon",4.612552,13.15358
"Cayman Islands",19.54172,-80.56671
"Central African Republic",7.03236,19.99812
"Channel Islands",49.433333,-2.316667
"Comoros",-12.20452,44.28329
"Cambodia",13.50664,104.8694
"China",35.00007,104.9999
"Cabo Verde",16.00006,-24.00839
"Bulgaria",42.6074,25.48566
"Chad",15.61341,19.01562
"Colombia",2.889443,-73.78389
"Canada",62.50634,-102.3022
"Chile",-31.76134,-71.31877
"Sri Lanka",7.555494,80.71378
"Djibouti",11.85678,42.75779
"Cote d'Ivoire",7.989737,-5.567946
"Dominican Republic",19.0974,-70.3028
"Czech Republic",49.8167,15.47495
"Croatia",45.56434,17.0119
"Denmark",55.67025,10.33333
"Cyprus",34.9823,33.14513
"Ecuador",-1.339767,-79.3667
"Dominica",15.41131,-61.36536
"Costa Rica",10.27356,-84.07391
"Cuba",23.01313,-80.83288
"Curacao",12.1845,-68.96409
"Eswatini",-26.56248,31.39913
"Faroe Islands",62.1985,-6.817412
"Equatorial Guinea",1.613172,10.51704
"French Polynesia",-17.02437,-144.6435
"Ethiopia",10.21167,38.65212
"Finland",63.24678,25.92092
"Fiji",-18.12397,179.0123
"Georgia",42.315407,43.356892
"El Salvador",13.80004,-88.91407
"Estonia",58.75238,25.33191
"Gambia, The",13.47006,-15.49005
"France",46.60336,1.888334
"Gabon",-0.8999695,11.68997
"Ghana",8.030028,-1.080027
"Germany",51.08342,10.42345
"Greece",38.99537,21.98771
"Gibraltar",36.14081,-5.354129
"Guinea-Bissau",12.10003,-14.90002
"Hungary",47.18176,19.50609
"Greenland",77.61923,-42.8126
"Grenada",12.13604,-61.6904
"India",22.35111,78.66774
"Guyana",4.84171,-58.64169
"Haiti",19.14,-72.35709
"Guatemala",15.63561,-89.89881
"Guinea",10.72262,-10.70836
"Guam",13.53946,144.897
"Honduras",15.25724,-86.07552
"Iceland",64.98418,-18.1059
"Isle of Man",54.23582,-4.514599
