Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population, female",SP.POP.TOTL.FE.IN,Afghanistan,AFG,4346990,4437679,4532368,4631212,4734371,4842015,4952722,5066254,5185164,5313009,5451441,5599707,5753953,5908686,6056668,6191328,6315722,6427910,6510970,6543069,6511413,6411284,6255675,6072080,5898422,5764972,5674753,5627943,5647569,5760223,5981147,6327356,6785762,7304033,7809329,8250185,8603315,8885666,9134961,9408613,9746770,10162500,10637846,11144964,11642547,12101551,12511524,12884170,13239157,13606016,14005473,14444001,14912657,15398276,15881092,16346869,16791609,17220190,17638000,18053000,18473000,18897000,19324000,19753000,20182000,20611000,21039000,21467000,21895000,22321000,22746000,23169000,23591000,24010000,24427000,24840000,25250000,25656000,26058000,26455000,26847000,27233000,27614000,27988000,28356000,28717000,29071000,29417000,29756000,30088000,30412000
"Population, female",SP.POP.TOTL.FE.IN,Albania,ALB,780595,805305,830317,855238,880256,904823,928927,953600,981013,1009808,1035954,1061521,1088570,1114865,1141014,1167738,1193877,1220603,1246195,1271298,1297791,1324521,1353597,1383430,1413336,1442682,1469816,1497724,1525329,1568794,1603298,1604803,1610619,1617772,1621629,1618647,1607089,1588481,1566199,1544994,1528046,1511707,1509000,1507666,1505935,1501423,1493529,1482744,1470945,1460006,1451422,1445814,1441287,1436444,1431651,1426369,1423809,1422948,1425000,1427000,1428000,1429000,1430000,1430000,1430000,1430000,1429000,1428000,1426000,1424000,1421000,1417000,1413000,1409000,1403000,1398000,1391000,1384000,1376000,1368000,1360000,1351000,1341000,1332000,1322000,1312000,1302000,1291000,1281000,1271000,1260000
"Population, female",SP.POP.TOTL.FE.IN,Algeria,DZA,5527051,5668594,5813441,5963245,6120323,6286263,6462013,6646945,6839171,7035932,7235409,7437122,7642210,7852429,8070274,8297705,8534649,8780905,9038133,9308315,9592486,9891012,10202396,10523393,10849601,11177396,11504929,11831509,12155986,12477542,12795123,13108598,13416455,13714761,13998605,14264840,14512653,14744096,14962632,15173284,15380507,15585633,15790197,15999201,16218559,16452871,16703283,16970004,17255141,17560693,17887239,18235997,18604407,18984388,19365041,19738058,20100149,20451754,20793000,21125000,21449000,21763000,22068000,22363000,22647000,22923000,23189000,23446000,23695000,23938000,24175000,24407000,24634000,24858000,25080000,25300000,25519000,25738000,25956000,26174000,26392000,26610000,26827000,27044000,27259000,27471000,27681000,27887000,28089000,28284000,28473000
"Population, female",SP.POP.TOTL.FE.IN,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, female",SP.POP.TOTL.FE.IN,Angola,AGO,2900597,2956543,3014082,3072260,3129657,3185518,3239546,3292896,3348020,3408200,3475917,3552328,3637187,3729918,3829313,3934592,4045039,4161240,4285197,4419637,4566089,4726261,4898495,5076921,5253511,5422852,5581981,5733487,5884261,6044247,6220388,6416266,6629273,6852909,7077584,7296962,7508648,7716678,7928906,8156453,8407379,8684468,8985544,9307609,9645607,9995796,10357453,10731777,11119158,11520427,11936016,12366067,12809782,13265577,13731363,14205741,14688058,15178929,15680000,16192000,16718000,17258000,17812000,18379000,18960000,19554000,20163000,20785000,21421000,22072000,22736000,23414000,24105000,24810000,25529000,26260000,27005000,27762000,28532000,29314000,30108000,30914000,31732000,32560000,33400000,34250000,35110000,35981000,36861000,37752000,38651000
"Population, female",SP.POP.TOTL.FE.IN,Antigua and Barbuda,ATG,29273,29773,30265,30777,31319,31889,32505,33143,33796,34431,35041,35602,36120,36586,36977,37290,37532,37690,37763,37734,37606,37384,37088,36727,36323,35893,35442,34997,34628,34424,34446,34707,35194,35890,36786,37838,39069,40449,41859,43145,44195,44954,45454,45789,46097,46471,46958,47505,48100,48708,49291,49845,50387,50913,51450,51984,52509,53046,54000,54000,55000,55000,56000,56000,57000,57000,58000,58000,59000,59000,59000,60000,60000,61000,61000,61000,62000,62000,62000,63000,63000,63000,64000,64000,64000,64000,64000,64000,65000,65000,65000
"Population, female",SP.POP.TOTL.FE.IN,Arab World,ARB,45909546,47174491,48482890,49837622,51242480,52699695,54215933,55790717,57411074,59058941,60724221,62398727,64094688,65847194,67704063,69698805,71842855,74123776,76521599,79005258,81550074,84149697,86805054,89506982,92246331,95015336,97806638,100615528,103440246,106280987,110113892,113029317,115137501,118134381,121111744,124723010,127619185,130509484,133371678,136236749,139113662,141998877,144904104,147871961,150957572,154198970,157610509,161177796,164879183,168667331,172508052,176400834,180343747,184306583,188253495,192160815,196007048,199801802,203581000,207419000,211349000,215390000,219525000,223710000,227887000,232007000,236069000,240077000,244046000,248001000,251959000,255921000,259878000,263843000,267813000,271795000,275788000,279791000,283800000,287808000,291805000,295789000,299759000,303708000,307639000,311541000,315411000,319253000,323062000,326825000,330554000
"Population, female",SP.POP.TOTL.FE.IN,Argentina,ARG,10148066,10325494,10504134,10683293,10861895,11039448,11215455,11391088,11569574,11755215,11951008,12158165,12375602,12601072,12831143,13063209,13296654,13531869,13768476,14006283,14245108,14484323,14723643,14963677,15205407,15449378,15695670,15943539,16191720,16438494,16682535,16923558,17161591,17396009,17626209,17851861,18072582,18288725,18501768,18713730,18926129,19139683,19354161,19569048,19783381,19996580,20208300,20419085,20630231,20843519,21060096,21280453,21503827,21728482,21951996,22172551,22389522,22603175,22814000,23022000,23227000,23430000,23630000,23828000,24023000,24216000,24406000,24593000,24778000,24960000,25139000,25315000,25488000,25658000,25825000,25988000,26149000,26306000,26460000,26610000,26757000,26900000,27040000,27177000,27309000,27439000,27564000,27687000,27805000,27920000,28030000
"Population, female",SP.POP.TOTL.FE.IN,Armenia,ARM,971118,1004446,1038032,1071562,1104755,1137405,1169235,1200280,1230898,1261649,1292908,1324772,1357022,1389271,1420978,1451736,1481470,1510252,1538031,1564792,1590545,1614580,1636817,1658628,1681883,1707571,1737049,1768934,1798145,1817820,1823350,1812578,1787881,1754804,1721339,1693329,1672642,1657794,1647237,1638215,1628670,1618678,1609088,1599553,1589708,1579388,1568169,1556308,1545072,1536225,1530960,1529747,1532013,1536577,1541734,1546192,1549566,1552108,1554000,1555000,1556000,1556000,1556000,1556000,1555000,1553000,1551000,1548000,1545000,1542000,1538000,1534000,1530000,1525000,1521000,1516000,1511000,1505000,1500000,1495000,1489000,1483000,1477000,1471000,1464000,1458000,1451000,1443000,1436000,1428000,1420000
