Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Afghanistan,AFG,51.6805217408896,51.5894721293928,51.5040443541467,51.424015979942,51.3493486317742,51.2798010146482,51.2159126380114,51.1574752721564,51.1034060940675,51.0521508633524,51.003228706629,50.9564478195971,50.9129591807224,50.8748462315889,50.844882145829,50.8245646641695,50.8132790947379,50.8100876240106,50.815071768347,50.8287442287527,50.8512140208623,50.8862677337046,50.9345160693469,50.989198797766,51.0387214601866,51.0740297951643,51.0841052971022,51.0731122982082,51.0646959019924,51.0917489583631,51.170782542249,51.3042707985487,51.4652009674119,51.6132188591,51.7129500783202,51.7520090159145,51.7288279495058,51.6600080145371,51.5746337230809,51.5111846023062,51.4935402605196,51.5297361371322,51.601986958735,51.6798807120028,51.728692220203,51.7304915248802,51.6807393992034,51.5938267384544,51.4943135747929,51.4146009354482,51.3752308600541,51.381076383834,51.4197547333438,51.4735046921857,51.519989562251,51.5454421553111,51.5478014834187,51.533490647911,51.5085391652292,51.4814668494182,51.4580194505602,51.4388657076833,51.4218648910473,51.4063557100776,51.3910672237124,51.3751841748195,51.3588314135384,51.3424643313778,51.3260420688386,51.309483293095,51.2927536331193,51.2758042894103,51.2586317582589,51.241230971394,51.223566878841,51.2056620758871,51.187465451714,51.1689862011781,51.1501730228352,51.1309783492469,51.1113878664239,51.0913777908393,51.0709312218603,51.0500551260512,51.0287360397197,51.0069605869284,50.9847308236618,50.9620250155526,50.9388486986336,50.9152103103293,50.8911395410589
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Albania,ALB,51.4796541442907,51.4818180416181,51.4808836097131,51.4791693195095,51.4779483435425,51.4785921625544,51.4812405630372,51.485494285021,51.489566664861,51.491053772618,51.4884457771997,51.4811472800486,51.4708394395543,51.4590435286776,51.4487770047726,51.4420038254367,51.4393352843692,51.4390122138805,51.4393752345106,51.436973305248,51.4299119552119,51.4125398810597,51.3842803592716,51.3554900839893,51.3385764356784,51.3390348729153,51.3730342827792,51.4294373589745,51.4587437356626,51.3995623390274,51.2162603627906,50.8752277943099,50.3973041946065,49.8720678358694,49.443147628844,49.2234411931044,49.2717065909414,49.5445085778264,49.9381716463354,50.3022070696972,50.5331097561952,50.6005953109177,50.5409525702661,50.3994682114592,50.2489226051166,50.1434797575978,50.0917058132515,50.0762422728432,50.0920230428641,50.1282304002247,50.174680166787,50.2334903831074,50.3073085917982,50.3834911742901,50.4465251700233,50.4854013574818,50.4951567586335,50.4795788647436,50.4464880578119,50.4091140043486,50.3766613086937,50.3515004733762,50.331286977705,50.3149109655109,50.3003115586107,50.2854602739401,50.2709654993793,50.2579181570511,50.2464375512491,50.2360992784447,50.2276016179095,50.220348575291,50.2145105896311,50.2103503780404,50.2075837159086,50.2059091292137,50.2056994057111,50.2073165171382,50.2103075888319,50.2155114885606,50.2230977567389,50.2334072562761,50.2460031182991,50.2615386878821,50.2798847900566,50.3015317025972,50.3264005801377,50.3545016485283,50.3859553222874,50.4201395543419,50.4574456702314
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Algeria,DZA,50.3181469373498,50.2966762839159,50.2706166463347,50.2446616322034,50.2249679447923,50.2155151249438,50.2166441838267,50.2257941998156,50.2402617505258,50.2565461076002,50.272219332576,50.2869799376408,50.3013313570602,50.3150035910833,50.3279535888092,50.3402037595792,50.3517694988911,50.3628396403339,50.3735407487793,50.3841263113277,50.3949379352956,50.4052438490386,50.4153151936814,50.4275003643723,50.4445355100406,50.4677696843022,50.4978534527169,50.5328208522081,50.5683285105963,50.599002204083,50.6215583762334,50.6348003783337,50.6404909793757,50.6419289192419,50.6435365845532,50.648029945167,50.656393104514,50.6669288555909,50.676540479608,50.6810267283537,50.6776706785865,50.66612438002,50.6479942701112,50.6251036731983,50.600008887915,50.5748152301298,50.5496920102973,50.5248779222644,50.5026201409495,50.4855033869703,50.475057327249,50.4719841460367,50.4752095700118,50.4822626186368,50.4898971731106,50.4958588121434,50.4996213495373,50.5017577264112,50.5026488252634,50.5029579525207,50.5031896628694,50.5032612863332,50.5028948420829,50.502067970178,50.500781380473,50.4989975520671,50.4967545455085,50.4940846393105,50.4909790936115,50.4874722979507,50.4835599727655,50.4793016475779,50.4747285622565,50.4699547031275,50.4650498337794,50.460112875945,50.4551860719758,50.450357557131,50.4456876097294,50.4412660221045,50.4371715326072,50.4334386997431,50.4301223665756,50.4273581982791,50.425205247856,50.4237575124169,50.423059098926,50.4231048601103,50.4239251151702,50.4255022081799,50.4278457030731
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Angola,AGO,48.5999666500508,48.6088890928395,48.6182991090964,48.6279965520787,48.6379182448977,48.6480090584102,48.6582480859454,48.6687607170694,48.6798338391735,48.6920244866794,48.7054009926238,48.7196532426078,48.7347128163148,48.7505011707954,48.7671886437048,48.7848639363913,48.8034358195554,48.8224498096235,48.8404810517868,48.8557974921313,48.8674067641257,48.8749259965625,48.8789936370223,48.8809371409492,48.882490113662,48.8846168528836,48.8878120684649,48.8915177362065,48.894585739542,48.8955315649618,48.8935776441188,48.8884088082268,48.8811176570515,48.8731345677658,48.8661938449563,48.8614120550929,48.8591317848866,48.8588556307598,48.8600144991847,48.8616104722269,48.8631020123508,48.8645559184814,48.8663120094365,48.8687561077293,48.8722960683776,48.8772557301768,48.8833825764281,48.8906702497928,48.8995664591122,48.9106053200817,48.9240075922401,48.9397206796388,48.9571807246458,48.9752923474889,48.9928465229533,49.0089899234019,49.0236287015016,49.0369637443496,49.0492459203819,49.0608009767341,49.071877540846,49.0824495760166,49.0924367182816,49.1017964569351,49.1105390801403,49.1186705760941,49.12618655273,49.1331451736372,49.1395509675219,49.1454873003984,49.1509815458076,49.1560379194933,49.160663289555,49.1648894295057,49.1687074328757,49.1721674881567,49.1752462765479,49.1779630854999,49.1802548416793,49.1821086638601,49.1834874712398,49.1844058336883,49.1848868133225,49.184916061513,49.1845069596887,49.1836500148459,49.1823603342646,49.180665385256,49.1786277352007,49.1763071107179,49.1737566136731
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Antigua and Barbuda,ATG,47.1016587763362,46.9708035698381,47.0373092538149,47.2034450811516,47.3837160471015,47.5340527735737,47.6223471969319,47.6910451058994,47.7294521607325,47.7604466968106,47.7756747492511,47.7886617590991,47.7854231113938,47.78351839694,47.8306266138022,47.9256559563208,48.0778009877295,48.2813036020583,48.4982404452083,48.6801126086306,48.7949346405229,48.8346950226492,48.8069114947764,48.7331965325181,48.6424955456885,48.5645487250785,48.4922030548329,48.4157160963245,48.3609246830723,48.3339337175792,48.3537737263486,48.4346908755925,48.5670860917474,48.6825362785045,48.7080085342556,48.6034885616476,48.3412008938607,47.9675842552097,47.5792110206637,47.2751044746939,47.1251166463283,47.1478285405253,47.3093598571793,47.5461106655974,47.7699716713881,47.9329120731379,47.9984496982448,48.0144443836516,47.9871105872685,47.950753972919,47.9293003993492,47.9255691494363,47.9352678571429,47.9545315151391,47.9645605979388,47.9755018713848,47.9918783736939,48.0007058062366,48.0112175288444,48.0228648285138,48.0315110459917,48.0425503848944,48.0506995454588,48.0571481412983,48.0687285223368,48.0766261251851,48.0836080041786,48.0914871575037,48.0962420935136,48.1029905589057,48.1071082686955,48.1115403939777,48.112079422569,48.1108290815236,48.1198410272088,48.1233221334864,48.1213800050365,48.1247077683521,48.128764278297,48.1244160761974,48.1291565154408,48.1311475409836,48.1364456527951,48.1427548729296,48.1507304655198,48.1591348135695,48.1712821174119,48.1808974132249,48.1940947218168,48.2120710210679,48.2330956164799
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Arab World,ARB,50.36318976145,50.3658866599699,50.3667583999412,50.3664083711807,50.3656281340616,50.3652451657988,50.3656158812275,50.3671917373633,50.3708563423301,50.3775369662036,50.3880474159843,50.4013940597124,50.4177314357626,50.4399351781838,50.4713484962559,50.5132256370026,50.5665167682765,50.6279431073718,50.6896755694729,50.7425435810193,50.7813839173188,50.8045970604121,50.8159021440994,50.8219134118217,50.8310005333881,50.8482815083681,50.874083505972,50.9054963900293,50.9400946932439,50.9745553614404,51.0028808883156,51.0334961795806,51.0130691363572,51.0397046516627,51.0532916230275,51.0947053540382,51.0744166208226,51.0421280147665,51.0086480044766,50.987428728976,50.9873260038983,51.0095900122871,51.0503055373176,51.1061234156625,51.1720206137521,51.2437028622697,51.3207154593448,51.4017936946084,51.4812183036555,51.5525761768962,51.6118535262373,51.6572145642143,51.6902310110665,51.7145459545838,51.7351983193527,51.7553555544502,51.776171918545,51.7959676111349,51.8118886419649,51.8199177787416,51.8177936509229,51.8048984484667,51.7834747604625,51.7565015357318,51.7282762008172,51.7015331806871,51.6771594212606,51.6543208447507,51.6324191465864,51.6103844118261,51.5873618890568,51.5635469435423,51.539254447656,51.5146107066777,51.4894493724569,51.463705426871,51.4375829605087,51.4109966772921,51.3842992868357,51.3576868988985,51.3314903345667,51.3056768211805,51.2802894184426,51.2553158580935,51.2307320208402,51.2065202071246,51.1826620927531,51.1592414099465,51.1363019867765,51.1137923714664,51.0917509747417
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Argentina,ARG,50.7831170134337,50.7208699816757,50.6562808805317,50.5902686948868,50.5241408518849,50.4588463145212,50.3932968604322,50.3271098439945,50.2625157047496,50.202399839329,50.1481725180869,50.1028258370405,50.0640460503712,50.0222976777258,49.9653336945804,49.8859802489549,49.7806467334309,49.6555377350744,49.5248653645892,49.4075553039108,49.316287367127,49.2550248972003,49.2182878621204,49.1977250520629,49.1813250879519,49.1609191245442,49.1345710956744,49.1052201910473,49.0754624889124,49.0493500732514,49.0294286166212,49.0160875895609,49.0075338832204,49.0016378041083,48.9954544975774,48.9871243222354,48.975878577323,48.9626019772294,48.9487961207,48.9366546364726,48.9276043298283,48.9220395316932,48.9192855052939,48.9183888885278,48.9180294462854,48.9172789317023,48.9159084699131,48.914259165949,48.9128023325211,48.9122011546785,48.9128841415883,48.9149128128478,48.918070358434,48.9221429876253,48.9268920519544,48.9320776629584,48.9376640774613,48.9436569769906,48.9499754055026,48.9565068163607,48.9631911044884,48.9699969242782,48.9768904026187,48.9838454472978,48.99079387708,48.9977389329503,49.0046790684739,49.0116215593899,49.0185616467528,49.025562715927,49.0326439188809,49.0398410649246,49.04716575445,49.0546711711182,49.0624694640277,49.0706028367905,49.0790955784896,49.0879695049619,49.097285100865,49.1070705559213,49.1173904914298,49.1282372403205,49.1395950085806,49.1514790847246,49.1638679254766,49.1767579258234,49.1901006329293,49.2038766002814,49.2179979504872,49.2324248275869,49.2470746255679
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Armenia,ARM,48.1827184841083,48.2642002537217,48.3444305107687,48.422443419748,48.4962011672722,48.564361025001,48.6283371111051,48.6867767075793,48.7369322379638,48.7743479930847,48.7970399154397,48.8051606979447,48.8009737089528,48.7879574281105,48.7704538301438,48.7518316999976,48.7305936262687,48.7072799540004,48.6880195101446,48.6802831391941,48.6879603994382,48.7124419211516,48.7483451754271,48.7855509870351,48.810411524262,48.8128348016895,48.7936936363293,48.7554103618805,48.6926117491031,48.5978803138839,48.4662212558685,48.2896473339073,48.0691365081799,47.8217883900671,47.5786469975576,47.3686991506037,47.2055478715715,47.0875117336727,47.011758030086,46.9664753866444,46.9417261126971,46.939969632761,46.9630138936865,46.9961700754255,47.0205371711333,47.0227944501169,46.9944566503296,46.9390426971487,46.8722405763533,46.817370159656,46.7920014124313,46.8021474579442,46.840592563908,46.8957122723443,46.950538466144,46.9928401363751,47.0200357834353,47.0351711808367,47.0422739700069,47.046136275489,47.05095685753,47.0571728382674,47.0631411390166,47.0689124292103,47.0737275022257,47.0777372996589,47.0811459145529,47.0845409307158,47.0876346199413,47.0905680098193,47.093867316949,47.097313446011,47.1011511167478,47.1056471557549,47.1110817400499,47.1177507643537,47.1256273175485,47.1348821431293,47.1456024286568,47.1581511612696,47.1727428618264,47.1891823367241,47.2077139700618,47.2282349159126,47.2504561230353,47.2743451179547,47.2997504589209,47.3266441504318,47.3551096073436,47.3854573966512,47.4177120587753
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Aruba,ABW,49.0204397874852,49.0348883356785,49.0343920048369,49.0132101095257,48.9873573094391,48.9757135136078,48.960174690652,48.9611329336366,48.9542114188807,48.935880409984,48.9046893516167,48.8543454123347,48.8061621748066,48.7266750780264,48.6774497331769,48.6455740029347,48.6498531013766,48.6648113176291,48.6988785730924,48.7277396118189,48.7395377473085,48.7392876603755,48.7210837775713,48.6956102422323,48.7123165568395,48.7465092663113,48.8291164498364,48.9407807497008,49.0764998690071,49.2176363606574,49.3290642296306,49.4081054732835,49.465123094959,49.4751362162908,49.4322404015384,49.3202529754494,49.1653747701626,48.9596255119953,48.717919340055,48.4793672549967,48.2545726674444,48.0590363002196,47.8840323395654,47.734394326709,47.6261848821194,47.5606830087576,47.5408860546073,47.556903501146,47.6045304761341,47.6485721889817,47.6712732995623,47.6703738180393,47.6477354701605,47.6098184954406,47.5722075569857,47.5344789580119,47.50851484015,47.4823287983583,47.4632091988833,47.4414219037292,47.4215762723011,47.4022265292173,47.3909188482897,47.3726322057236,47.3613417315238,47.3467084755483,47.3312792885871,47.3228005925817,47.3182239601979,47.3144772756416,47.3077872562197,47.3084612084311,47.3096909472149,47.3099867935698,47.3227615336999,47.3272300384034,47.3401108552602,47.3590282899469,47.3703875841831,47.3939183826146,47.41824361985,47.4476673409426,47.4786022915959,47.5169870999182,47.5561865078633,47.5999001691578,47.6449594438007,47.6960410584451,47.7522170106025,47.8126256910082,47.8764225201475
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Australia,AUS,50.5178326124679,50.4862078702198,50.4527298992349,50.4194174611128,50.3886881479242,50.3619057709998,50.3400623217131,50.322398100584,50.3069484953511,50.2908507449932,50.2720605943621,50.2510058346896,50.2281626665157,50.2017842372725,50.170044064407,50.1321864975574,50.0867869534103,50.0355990476018,49.9849118998916,49.9429671862852,49.9151655583977,49.9034403747009,49.9048737003572,49.9138153934182,49.922461849984,49.9253638638784,49.9220889250924,49.9144260144916,49.90214146435,49.8853968169084,49.8647766061886,49.8388912797376,49.8087950174386,49.7806159691402,49.7621365230613,49.7582612356373,49.771512714064,49.7989045571111,49.8333569068162,49.8651513233491,49.8877757463963,49.8982044868911,49.899058766709,49.8960169857623,49.8972450566541,49.9076654409249,49.9296331562618,49.9593013874288,49.9883495345788,50.0061571230646,50.0062454619813,49.9864300388095,49.951038154134,49.9081260191632,49.8685391530531,49.8396902193008,49.8235419245851,49.8172291275631,49.8175478241879,49.8195757555031,49.8198433832599,49.8178942958915,49.814867749737,49.8107825239578,49.806041673362,49.800869901458,49.7951645351341,49.7887050961857,49.7815819822612,49.77396097838,49.7659745111918,49.7577033138782,49.7491988734385,49.7406535799958,49.7323588738604,49.7244689937402,49.7170743620157,49.7102320980747,49.7040697706683,49.6987295697324,49.6942804023413,49.6908067126915,49.6882711708044,49.6866116151283,49.685654337134,49.6853047649785,49.6856124633775,49.6864756489758,49.6878536799221,49.6895802805632,49.6916139552177
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Austria,AUT,46.5807628105159,46.6114640706643,46.6456825334547,46.6828504226553,46.7219471200127,46.7622311589872,46.8034839455029,46.8455089839787,46.8878422050919,46.9297825743983,46.9708649460009,47.0111606909306,47.0506996327719,47.0887925661756,47.1250503193558,47.1591788402927,47.1911741706153,47.2214958201801,47.2515791656845,47.283306923984,47.3178882354874,47.3560302094336,47.3979098355642,47.4428719864266,47.4902777544084,47.539604726224,47.5899805846123,47.6418219296377,47.697789330417,47.761197330823,47.8339332419639,47.9164763638057,48.006305247213,48.0982791755136,48.1862514100852,48.2658505580584,48.336636794992,48.3995327699069,48.4538842793494,48.4990279608442,48.5347632179145,48.560224407876,48.576398292536,48.5868695078374,48.5967060209497,48.6094768185153,48.6262926486234,48.6467412306474,48.6716790236661,48.7013075454652,48.7356576053708,48.7753401090964,48.8197261256954,48.8663567887615,48.9121728523277,48.9551443580653,48.9946206061569,49.031138489689,49.0649768076679,49.0967808172298,49.126916999954,49.1553100696139,49.1816305397016,49.2061298067406,49.229180863452,49.2510818420052,49.2718210023005,49.2915396992872,49.3102322258141,49.327870454065,49.3445586124562,49.3603045638,49.3751658646759,49.3891647473321,49.4023914599636,49.4147024462459,49.4263294010348,49.4371229208496,49.4471392713085,49.456306974058,49.4646236052106,49.4720617095173,49.4787661607959,49.4847995178198,49.4901272458481,49.494836734623,49.4990591563105,49.5028012728754,49.5064774241322,49.5104224956063,49.5150404591019
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,Azerbaijan,AZE,47.8312859591169,47.9368408098208,48.0405395848761,48.1400431551609,48.2328821466684,48.3180453437843,48.3957851806967,48.4670640757658,48.5322484395916,48.5920552562613,48.6466884194196,48.6958799104025,48.7398960497802,48.7808703556315,48.820951290483,48.8617822561117,48.9038149444921,48.9458382553245,48.9847309333043,49.0168721684382,49.0396114939015,49.0528089456133,49.0575097935889,49.0543891862352,49.0440922723275,49.027624272927,49.0053167006951,48.9783123106186,48.9491349114712,48.9211205175894,48.8963335564524,48.8765623912741,48.8618466344965,48.8512233503536,48.843403320819,48.8376319221341,48.8327819827972,48.830464363441,48.8357242885176,48.8552636071578,48.8930278847921,48.9507432893281,49.0251559257588,49.1087926668336,49.192070619521,49.2680775910833,49.3344126443464,49.3925011255923,49.4446952718758,49.4945325249439,49.5445041857345,49.5946433067739,49.6433967359452,49.6890506644919,49.7295390231291,49.7635350747295,49.7906919402002,49.8118663884024,49.828132327628,49.8411016420262,49.8517635841301,49.8606218891665,49.867481916473,49.872287335231,49.8748098890075,49.8749913451127,49.8730298186291,49.8691332415599,49.8636064624267,49.8567051625058,49.8486170387478,49.839592993807,49.8297602030943,49.8194138851069,49.8087043182865,49.7978666779119,49.7870855302175,49.7765610299541,49.7665093738417,49.7572238187881,49.7488515933457,49.7415889555887,49.7355072460481,49.730695656138,49.7272083428454,49.7251111985771,49.7244553094297,49.7251898231213,49.7272538072444,49.7306706650325,49.7352707677112
"Population, male (% of total)",SP.POP.TOTL.MA.ZS,"Bahamas, The",BHS,47.827754341752,48.0673831264172,48.2854877605629,48.4893702240617,48.6877239171572,48.8757827393915,49.0697785642546,49.2588757978061,49.4194036436992,49.5144626212321,49.5338139861709,49.4694342357265,49.3373219597501,49.186741013378,49.0758799535374,49.0467845854929,49.1072909754479,49.2370052455889,49.3987980924308,49.545465576237,49.6446796895398,49.6854791162776,49.6878901373283,49.6627307485645,49.6332879743671,49.6186458732796,49.6117255943296,49.6123553265706,49.6172876905988,49.6148562262263,49.6077398716523,49.5957843621588,49.5802834683541,49.5510080652596,49.4953009528573,49.4042689891491,49.2721705210561,49.1112466242704,48.9422586294871,48.7992969500439,48.7084028507454,48.672204371664,48.6849808674501,48.726459614739,48.7748236570809,48.8119428371832,48.83529807615,48.851061592213,48.8630008517814,48.8727821989765,48.8839557905706,48.8981580498025,48.9127454722367,48.9255834667628,48.9373894476832,48.9478799911074,48.9571405202028,48.9644828231628,48.968669388164,48.9744429394341,48.9783327393169,48.9828477340595,48.9870361876252,48.9907475217431,48.9919187364274,48.9944436596506,48.9967430363126,48.9982744064793,48.9983647711831,48.9992381902328,48.9999909069416,48.9993334161856,48.9994180965241,48.998654742591,48.9987572005665,48.9993959869639,48.9990001013113,49.0001425391709,49.001030855785,49.0043576349986,49.008141218495,49.0119678352279,49.0162649928103,49.0224392672157,49.0299257738133,49.0402497909877,49.0498622911771,49.0605777796632,49.073899733647,49.0881616130918,49.1037924572006
