Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Urban population,SP.URB.TOTL,Afghanistan,AFG,755783,796042,838885,884370,932848,984301,1038888,1096387,1157782,1223837,1295415,1372537,1454693,1540644,1628785,1717441,1807144,1897014,1982086,2054820,2119077,2161996,2186182,2198724,2212453,2238426,2279257,2336671,2423356,2483662,2593995,2763231,2985692,3236993,3482633,3697605,3870061,4008109,4130273,4266092,4436299,4648055,4892951,5155686,5426770,5691823,5931413,6151939,6364968,6588859,6837008,7114615,7416385,7733964,8054214,8367663,8670939,8971345,9273000,9583000,9904000,10240000,10588000,10948000,11320000,11705000,12101000,12510000,12932000,13368000,13818000,14281000,14759000,15251000,15758000,16279000,16815000,17366000,17931000,18511000,19104000,19710000,20328000,20955000,21589000,22228000,22873000,23523000,24177000,24836000,25498000
Urban population,SP.URB.TOTL,Albania,ALB,493982,513592,530766,547928,565248,582374,599300,616687,635924,656733,677801,698647,720649,742333,764166,786668,809052,832109,854618,876974,902120,927513,954645,982645,1011235,1040127,1068501,1098349,1127722,1167160,1197222,1198912,1209490,1219882,1230218,1240399,1250518,1260414,1270214,1279853,1289391,1298584,1327220,1354848,1381828,1407298,1430886,1452398,1473392,1495260,1519519,1546929,1575788,1603505,1630119,1654503,1680247,1706345,1734000,1762000,1788000,1813000,1837000,1859000,1881000,1902000,1921000,1939000,1955000,1970000,1984000,1995000,2006000,2014000,2021000,2026000,2030000,2032000,2032000,2032000,2031000,2029000,2026000,2023000,2019000,2015000,2010000,2006000,2000000,1995000,1989000
Urban population,SP.URB.TOTL,Algeria,DZA,3394203,3626403,3882767,4154288,4443887,4753164,5041536,5208671,5383539,5563573,5747263,5933927,6124850,6321297,6525328,6738780,6961531,7240239,7611660,8004279,8420028,8858976,9321410,9805134,10307407,10824413,11355685,11892457,12421409,12956681,13496456,14039539,14584560,15126562,15661352,16185540,16698037,17198083,17689675,18188015,18684937,19180228,19677273,20182205,20703617,21248009,21818169,22414414,23041887,23700349,24393852,25124194,25888503,26674438,27465760,28248180,29016679,29770548,30510000,31236000,31951000,32652000,33337000,34005000,34657000,35292000,35910000,36512000,37099000,37672000,38232000,38780000,39317000,39845000,40363000,40881000,41398000,41915000,42432000,42949000,43467000,43986000,44505000,45023000,45540000,46053000,46563000,47068000,47566000,48054000,48532000
Urban population,SP.URB.TOTL,American Samoa,ASM,13251,13652,14163,14769,15416,16072,16721,17371,18009,18624,19209,19760,20281,20767,21222,21657,22055,22440,22859,23397,24125,25134,26312,27637,29059,30515,32019,33552,35087,36594,38076,39612,41058,42429,43766,45086,46402,47673,48895,50032,50956,51480,51915,52199,52270,52083,51612,50897,50072,49309,48735,48406,48282,48310,48390,48449,48481,48502,49000,49000,49000,49000,49000,49000,49000,49000,49000,50000,50000,50000,50000,50000,51000,51000,51000,51000,51000,51000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000,52000
Urban population,SP.URB.TOTL,Andorra,AND,7839,8766,9754,10811,11915,13067,14262,15494,16765,18083,19458,20902,22401,23917,25397,26791,28085,29304,30491,31774,33205,34800,36561,38451,40421,42441,44342,46118,47926,49758,51627,53571,55546,57380,58847,59803,60128,59940,59605,59649,60417,61991,64194,66747,69192,71205,72736,73843,74640,75097,75007,74309,73059,71527,70066,68921,68199,67845,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,68000,69000,69000,69000,69000,69000,69000,69000,69000,69000,69000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000,70000
Urban population,SP.URB.TOTL,Angola,AGO,588866,621212,657233,695164,734733,775661,818062,862239,908895,958930,1013543,1082871,1167455,1259815,1360479,1469505,1587468,1714663,1852971,2004142,2169787,2351525,2550003,2763060,2987103,3218571,3455744,3699560,3954242,4225990,4520960,4843119,5192396,5564024,5951759,6302472,6657829,7020148,7397110,7798957,8234766,8708000,9218787,9765197,10343506,10949424,11501748,12078709,12681825,13311900,13970768,14659013,15375909,16119491,16887478,17675615,18483548,19311773,20161000,21036000,21937000,22865000,23820000,24803000,25812000,26848000,27911000,29002000,30120000,31265000,32437000,33636000,34861000,36112000,37389000,38691000,40018000,41369000,42743000,44139000,45557000,47001000,48472000,49968000,51490000,53037000,54609000,56204000,57823000,59466000,61132000
Urban population,SP.URB.TOTL,Antigua and Barbuda,ATG,21945,21919,21959,22045,22149,22252,22349,22441,22519,22571,22692,23114,23505,23862,24196,24502,24792,25052,25265,25395,25424,25352,25197,24973,24711,24438,24153,23870,23647,23549,23628,23870,24008,24275,24624,25002,25403,25826,26235,26587,26853,26997,26827,26593,26333,26078,25832,25589,25344,25097,24837,24603,24703,24798,24892,24981,25085,25210,25000,26000,26000,26000,26000,26000,27000,27000,27000,27000,28000,28000,28000,29000,29000,30000,30000,30000,31000,31000,32000,32000,33000,34000,34000,35000,35000,36000,37000,37000,38000,38000,39000
Urban population,SP.URB.TOTL,Arab World,ARB,28942239,30446953,32020431,33686952,35459848,37359336,39305024,41218526,43225262,45313438,47482360,49694609,52005840,54408370,56861365,59435700,62151874,64979632,67944537,71030308,74256377,77609044,81070195,84687438,88489442,92358599,96319023,100241710,104081318,107876474,113041765,116971090,119060481,123087723,126834480,131947030,135383435,138899488,142493381,146181152,149981223,153924351,157985738,162267754,166820459,171813698,177187320,182461557,188436906,194562734,200779074,206785185,212686294,218605128,224499427,230602125,236606830,242542106,248445000,254401000,260457000,266630000,272915000,279288000,285718000,292180000,298666000,305188000,311762000,318399000,325118000,331921000,338810000,345790000,352866000,360039000,367316000,374686000,382154000,389706000,397335000,405036000,412810000,420619000,428459000,436318000,444198000,452088000,459985000,467882000,475763000
Urban population,SP.URB.TOTL,Argentina,ARG,15177907,15550745,15916161,16283191,16650738,17017602,17383414,17749066,18120768,18505677,18909948,19327703,19762667,20210548,20661009,21106169,21543399,21974571,22405664,22844170,23296127,23780333,24285074,24799122,25319368,25842013,26365972,26891584,27418228,27944438,28469636,28987585,29462392,29933012,30397318,30852828,31298956,31735996,32167673,32599189,33033754,33472924,33914775,34358150,34801606,35243074,35682119,36119493,36558177,37001390,37451491,37903594,38358970,38817256,39275219,39728558,40176085,40618237,41056000,41490000,41920000,42346000,42769000,43187000,43601000,44010000,44416000,44818000,45214000,45606000,45993000,46376000,46753000,47125000,47491000,47852000,48209000,48559000,48903000,49243000,49576000,49903000,50225000,50539000,50848000,51151000,51447000,51737000,52020000,52296000,52565000
Urban population,SP.URB.TOTL,Armenia,ARM,960955,1012429,1065431,1119584,1174558,1229978,1285571,1341277,1397343,1454160,1511605,1569625,1628590,1688028,1747461,1801945,1855659,1908576,1960876,2007500,2047386,2085894,2122747,2159333,2197505,2238079,2282853,2330095,2372859,2393836,2385466,2353776,2302482,2240025,2178117,2125280,2084084,2052297,2027670,2006224,1984980,1964164,1948854,1935530,1921532,1906157,1888677,1869501,1850791,1835406,1825366,1821393,1822527,1827656,1834174,1840158,1845032,1849202,1853000,1857000,1861000,1865000,1869000,1873000,1878000,1882000,1887000,1891000,1896000,1901000,1906000,1911000,1916000,1922000,1928000,1934000,1941000,1947000,1954000,1961000,1967000,1973000,1979000,1984000,1989000,1993000,1996000,1999000,2002000,2004000,2005000
Urban population,SP.URB.TOTL,Aruba,ABW,27526,28141,28532,28761,28924,29082,29253,29416,29575,29738,29900,30082,30275,30470,30605,30661,30615,30495,30353,30282,30332,30560,30943,31365,31676,31762,31560,31142,30753,30720,31273,32507,34116,35953,37719,39172,40232,40970,41488,41945,42444,43048,43670,44246,44669,44889,44881,44686,44375,44052,43778,43822,44064,44360,44674,44979,45275,45572,46000,46000,47000,47000,47000,48000,48000,48000,49000,49000,50000,50000,50000,51000,51000,52000,52000,53000,53000,54000,54000,55000,55000,55000,56000,56000,56000,57000,57000,57000,58000,58000,58000
Urban population,SP.URB.TOTL,Australia,AUS,8378309,8589875,8832932,9034955,9245383,9459784,9709943,9852991,10048170,10280809,10505755,10887779,11110846,11303156,11614598,11780153,11920613,12077392,12240482,12395391,12569300,12792439,13002993,13162165,13307374,13486012,13704062,13909213,14133874,14370091,14579227,14761055,14920611,15044687,15181749,15342767,15521685,15672048,15811356,15967866,16133530,16326333,16550802,16780377,17000206,17250330,17531121,17666387,18049708,18451611,18767085,19056040,19414834,19775013,20095657,20410546,20755798,21133982,21432000,21728000,22021000,22310000,22596000,22879000,23162000,23442000,23722000,23999000,24273000,24546000,24815000,25082000,25347000,25611000,25875000,26138000,26401000,26665000,26929000,27193000,27459000,27725000,27991000,28257000,28523000,28790000,29056000,29322000,29587000,29851000,30112000
