Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 00-04, male",SP.POP.0004.MA,Afghanistan,AFG,779947,807714,830331,850523,871296,895851,926092,952060,976483,1002665,1034035,1072526,1107066,1138629,1167524,1193758,1229271,1259915,1282236,1289909,1278192,1275306,1255233,1224348,1195073,1181775,1161524,1138173,1128089,1153011,1233986,1323259,1443866,1584788,1717543,1812943,1901435,1965230,2009746,2055422,2123708,2208735,2297864,2386876,2464235,2519612,2580561,2621348,2648056,2670269,2696790,2711618,2721522,2728163,2734711,2742667,2745096,2767157,2801397,2835000,2860000,2903000,2921000,2919000,2914000,2917000,2918000,2926000,2940000,2953000,2962000,2975000,2981000,2981000,2979000,2977000,2977000,2975000,2970000,2962000,2953000,2946000,2935000,2922000,2907000,2890000,2876000,2860000,2842000,2823000,2804000
"Population ages 00-04, male",SP.POP.0004.MA,Albania,ALB,137362,142768,147316,151078,154052,156202,158118,158700,158815,159031,159319,158819,160130,162402,164768,166673,169458,170940,171323,171557,172527,173520,175163,177332,180016,183263,186765,191291,195760,200437,200480,199927,195888,189180,181991,176574,168341,161287,155273,149389,142862,135996,129704,123185,116876,110941,105172,100076,95728,92324,90067,87904,87273,87472,87702,87591,90098,89823,87724,86000,85000,82000,82000,82000,83000,83000,83000,82000,81000,79000,78000,76000,75000,73000,72000,70000,68000,66000,65000,63000,62000,61000,60000,59000,58000,57000,57000,57000,56000,56000,56000
"Population ages 00-04, male",SP.POP.0004.MA,Algeria,DZA,1053778,1071309,1100332,1138413,1178099,1215195,1259543,1290755,1313444,1336169,1365795,1400415,1437652,1478074,1520414,1564857,1617812,1663865,1705401,1746382,1790987,1840540,1881351,1915927,1946409,1974854,2000522,2018242,2028694,2031971,2028235,2019619,2003474,1979087,1944015,1896818,1843451,1775627,1700531,1629361,1570076,1504459,1468400,1459168,1472939,1507237,1567315,1650993,1750311,1855775,1962088,2100219,2204383,2280559,2334935,2372561,2396373,2385049,2350043,2307000,2266000,2182000,2142000,2130000,2121000,2097000,2086000,2056000,2013000,1971000,1941000,1918000,1903000,1895000,1892000,1893000,1903000,1915000,1929000,1945000,1964000,1990000,2015000,2038000,2059000,2078000,2098000,2114000,2126000,2132000,2133000
"Population ages 00-04, male",SP.POP.0004.MA,Angola,AGO,523592,520939,525673,535812,545421,550979,559489,558219,552517,550743,559516,577060,599349,626272,655972,687748,722829,753297,781122,809145,840421,875559,904934,931601,958716,988535,1024152,1060979,1098667,1136775,1176779,1222929,1259224,1290001,1320275,1354197,1396293,1434308,1471385,1512017,1561901,1619892,1676508,1734890,1797559,1867065,1949594,2026693,2100462,2173136,2247643,2328361,2399040,2463455,2525705,2589177,2652569,2715483,2778915,2844000,2911000,2983000,3055000,3127000,3200000,3276000,3362000,3443000,3521000,3599000,3680000,3768000,3852000,3933000,4014000,4095000,4183000,4267000,4347000,4427000,4507000,4593000,4673000,4751000,4826000,4902000,4984000,5061000,5135000,5208000,5281000
"Population ages 00-04, male",SP.POP.0004.MA,Antigua and Barbuda,ATG,4355,4302,4289,4313,4358,4412,4469,4560,4659,4724,4726,4723,4626,4462,4270,4074,3861,3636,3414,3220,3072,2912,2906,3001,3112,3189,3375,3435,3421,3403,3418,3239,3150,3128,3139,3168,3223,3344,3506,3664,3777,3892,3937,3924,3889,3863,3797,3774,3779,3788,3785,3796,3797,3791,3784,3784,3796,3801,3802,3800,3800,3800,3800,3800,3800,3800,3800,3800,3700,3700,3700,3700,3600,3600,3600,3500,3500,3500,3400,3400,3400,3400,3400,3300,3300,3300,3300,3300,3300,3200,3200
"Population ages 00-04, male",SP.POP.0004.MA,Argentina,ARG,1137338,1145641,1154083,1162630,1170998,1179042,1189298,1198702,1208878,1222565,1241949,1264581,1293194,1327171,1365895,1408613,1462776,1522127,1581148,1630804,1666143,1706688,1708980,1687178,1663959,1654930,1623221,1630954,1665456,1703398,1728559,1767436,1785585,1787038,1782596,1780017,1778476,1771432,1763051,1757059,1756244,1749981,1760506,1781452,1802679,1817092,1839755,1846595,1842779,1838216,1834986,1834680,1843146,1857523,1871086,1879267,1889603,1892099,1888650,1882000,1877000,1870000,1866000,1864000,1862000,1859000,1857000,1854000,1850000,1846000,1842000,1839000,1835000,1830000,1826000,1821000,1817000,1813000,1808000,1804000,1799000,1795000,1790000,1785000,1779000,1774000,1769000,1764000,1758000,1752000,1746000
"Population ages 00-04, male",SP.POP.0004.MA,Armenia,ARM,165326,171202,175665,178494,179395,178100,174568,168577,161226,154486,149726,143180,142633,146236,150767,153848,159899,162848,163613,164400,166805,169919,174240,179416,184524,189048,195308,200164,202857,202224,197357,192832,183976,172231,159976,149087,135306,124399,116073,109697,104766,99877,97955,98147,99296,100424,103879,105587,105999,106209,107368,109608,110569,110802,110541,109884,107884,105818,103675,101000,99000,96000,93000,91000,89000,86000,85000,83000,80000,78000,77000,76000,74000,74000,73000,72000,72000,72000,73000,73000,73000,73000,73000,73000,73000,73000,73000,72000,71000,71000,70000
"Population ages 00-04, male",SP.POP.0004.MA,Aruba,ABW,4454,4429,4417,4407,4369,4288,4217,4077,3897,3721,3578,3363,3247,3197,3156,3085,3070,2979,2836,2720,2704,2823,2958,3112,3242,3295,3342,3254,3088,2953,2947,2924,2991,3131,3274,3364,3509,3582,3601,3593,3565,3488,3415,3338,3260,3205,3220,3266,3337,3398,3402,3347,3243,3102,2965,2874,2769,2760,2820,2900,2900,3100,3100,3100,3100,3100,3100,3200,3200,3300,3300,3300,3300,3300,3300,3300,3200,3200,3200,3100,3100,3000,3000,3000,2900,2900,2900,2900,2800,2800,2800
"Population ages 00-04, male",SP.POP.0004.MA,Australia,AUS,559863,574717,585961,589477,592484,597829,604396,604429,608054,614037,618617,633019,641666,648563,657746,652430,654351,639927,616015,593662,582260,564963,568844,584599,601712,614358,638373,647316,647076,645953,647758,646600,651193,658146,664629,668668,676855,677533,673647,669605,666298,656484,650577,648788,650413,657671,667097,678262,703373,728545,745378,767619,780561,785223,787331,793701,798035,812664,832519,849000,858000,870000,873000,869000,864000,861000,855000,854000,856000,858000,858000,861000,862000,862000,862000,864000,868000,874000,880000,887000,894000,903000,912000,920000,928000,936000,945000,953000,961000,967000,973000
"Population ages 00-04, male",SP.POP.0004.MA,Austria,AUT,295738,310682,319612,324156,326764,329121,329368,329173,327476,323335,316516,306736,295869,283939,271158,258153,243481,233607,226774,221895,218787,219086,220553,222289,224048,224980,228833,226926,221843,218032,218557,218268,223883,232644,239477,241058,242012,237210,228127,218807,212147,203624,200472,201191,203036,203568,204752,203958,201903,200000,199420,199163,200165,202379,205309,208717,212507,215737,218629,220000,222000,223000,224000,224000,224000,223000,221000,220000,219000,217000,216000,213000,211000,209000,207000,205000,204000,202000,201000,200000,200000,199000,199000,200000,200000,200000,201000,202000,203000,204000,205000
