Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 30-34, male",SP.POP.3034.MA,Afghanistan,AFG,319238,322009,324718,327668,331376,336101,339873,344645,350479,357417,365347,372520,380823,389400,397099,403179,405743,407217,407385,406168,403595,396921,389216,381453,374686,369496,362728,358197,357730,363556,376438,400235,433748,471867,508453,539740,559702,572077,581088,592100,608301,633956,667368,705986,746555,787163,816859,842944,867052,891352,916968,952412,993307,1037663,1082590,1126493,1165200,1200190,1233704,1269000,1308000,1350000,1396000,1446000,1502000,1562000,1630000,1703000,1779000,1855000,1928000,2000000,2068000,2133000,2196000,2257000,2317000,2376000,2430000,2473000,2503000,2523000,2529000,2527000,2528000,2537000,2557000,2585000,2617000,2648000,2671000
"Population ages 30-34, male",SP.POP.3034.MA,Albania,ALB,55016,57091,58489,59504,60719,62440,64532,67186,70248,73118,75186,76816,77994,78727,79334,80050,80656,81370,82250,83581,85645,88424,91975,96121,100681,105477,110478,115755,120915,126896,131478,129930,127234,123351,118208,111793,111313,109894,107807,105402,102725,99400,96906,94299,91240,87438,85269,82765,80233,78232,77065,80927,85972,91621,97157,101744,103300,104779,105918,107000,108000,110000,111000,111000,112000,113000,114000,115000,116000,115000,113000,109000,104000,98000,92000,86000,81000,76000,72000,69000,67000,67000,68000,69000,71000,71000,72000,71000,70000,70000,69000
"Population ages 30-34, male",SP.POP.3034.MA,Algeria,DZA,318773,333089,347185,360298,371390,379438,384380,387517,389406,390865,392390,392574,392990,394005,396177,400180,407012,416041,429514,450675,481055,521143,570841,625035,675866,718402,752277,777749,798161,819623,846093,878056,914079,952021,988404,1021166,1049214,1075187,1100329,1126270,1153966,1184159,1213553,1243588,1276806,1315195,1359038,1405968,1455000,1504837,1554849,1609704,1665248,1718065,1764482,1802625,1838082,1866994,1888648,1903000,1910000,1915000,1912000,1900000,1876000,1839000,1790000,1731000,1668000,1607000,1556000,1516000,1485000,1469000,1476000,1511000,1574000,1663000,1771000,1886000,1999000,2112000,2223000,2323000,2400000,2447000,2465000,2450000,2412000,2366000,2323000
"Population ages 30-34, male",SP.POP.3034.MA,Angola,AGO,166802,168322,169669,170760,171601,172100,170382,168646,167296,166805,167542,169080,172325,176548,180770,184410,186317,187501,189671,195453,206270,220908,240805,263234,284046,300772,312596,320504,326158,332283,340446,348463,358703,370513,382857,395227,406070,417530,430049,444255,460373,476694,495021,515271,537387,561227,585037,611068,638333,665456,691571,715427,738630,761886,786517,813335,841681,872274,904475,937000,970000,1001000,1033000,1066000,1100000,1136000,1172000,1211000,1253000,1298000,1349000,1403000,1462000,1525000,1592000,1661000,1732000,1807000,1882000,1957000,2029000,2098000,2165000,2230000,2295000,2359000,2423000,2487000,2551000,2618000,2686000
"Population ages 30-34, male",SP.POP.3034.MA,Antigua and Barbuda,ATG,1499,1476,1408,1315,1248,1239,1291,1399,1539,1678,1795,1879,1944,1991,2029,2063,2106,2143,2182,2230,2291,2350,2413,2475,2524,2557,2516,2472,2433,2412,2435,2572,2719,2869,3007,3118,3254,3372,3465,3523,3540,3548,3520,3439,3323,3206,3062,2923,2802,2728,2713,2754,2863,3009,3144,3238,3296,3314,3310,3300,3300,3400,3400,3500,3600,3600,3700,3800,3900,3900,3900,3900,3900,3900,3800,3800,3700,3700,3700,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600,3600
"Population ages 30-34, male",SP.POP.3034.MA,Argentina,ARG,802864,806858,807906,806974,805563,804752,804133,804323,805953,809723,816086,825101,836899,851175,867398,885092,900523,915972,931263,946158,960338,975266,991792,1008830,1024966,1039573,1056071,1069961,1082291,1094495,1107023,1116261,1126079,1136188,1145983,1155465,1164238,1173600,1184283,1197402,1213728,1234387,1256310,1281927,1314919,1356787,1405952,1465265,1526443,1576676,1604199,1622056,1620776,1607999,1596566,1594441,1599552,1612819,1631664,1650000,1665000,1681000,1696000,1709000,1719000,1724000,1724000,1720000,1713000,1709000,1712000,1721000,1736000,1754000,1771000,1784000,1794000,1801000,1805000,1809000,1815000,1823000,1832000,1841000,1849000,1854000,1857000,1858000,1856000,1854000,1851000
"Population ages 30-34, male",SP.POP.3034.MA,Armenia,ARM,82641,85520,84821,82273,80738,81879,85351,91704,98790,103029,102345,97909,88659,77272,67935,63213,61111,63961,70932,79612,87898,95315,102053,108696,116082,124318,133241,142718,151588,158096,161051,159223,153942,146114,136935,127202,118472,109328,100331,92377,86108,83372,82458,82795,83563,84299,85065,85933,87037,88581,90636,93832,97663,101942,106466,111062,115538,120024,123956,127000,127000,126000,124000,119000,115000,110000,105000,100000,96000,92000,89000,86000,84000,83000,83000,84000,85000,88000,91000,95000,97000,99000,100000,101000,101000,100000,99000,97000,95000,92000,89000
"Population ages 30-34, male",SP.POP.3034.MA,Aruba,ABW,1458,1493,1524,1554,1584,1622,1657,1697,1738,1776,1810,1873,1947,2034,2126,2209,2207,2202,2205,2220,2244,2276,2320,2379,2452,2541,2638,2744,2859,2976,3083,3196,3359,3568,3801,4014,4081,4078,4008,3903,3793,3696,3615,3543,3463,3360,3249,3143,3057,3002,2964,2874,2802,2746,2699,2661,2631,2601,2591,2600,2800,2900,3200,3400,3700,3900,4000,4000,4000,3900,3900,3800,3800,3800,3800,3700,3700,3700,3600,3600,3500,3400,3300,3200,3100,3000,2900,2900,3000,3000,3000
"Population ages 30-34, male",SP.POP.3034.MA,Australia,AUS,388353,382497,376568,368319,362123,359421,360677,362788,370911,383045,396377,415652,428537,441255,462005,481392,501286,528010,557468,583093,602631,619673,628016,627581,626305,630447,640133,653761,670935,688076,701398,711374,719775,725168,729116,731184,734454,729959,719582,709717,704885,710870,724973,743133,756044,760066,757732,739894,729251,726266,733868,751107,783247,821438,855099,880474,900929,916368,926290,932000,938000,942000,947000,951000,951000,947000,939000,927000,914000,902000,893000,888000,886000,887000,893000,903000,917000,935000,956000,975000,992000,1005000,1014000,1021000,1029000,1038000,1049000,1061000,1074000,1084000,1091000
"Population ages 30-34, male",SP.POP.3034.MA,Austria,AUT,224705,222741,220038,217316,215771,216140,218875,223730,229815,236722,244411,253121,263370,273484,280513,283075,282336,278875,272847,266075,260396,255557,250568,246266,244897,246939,252068,260905,272399,285229,298124,313088,328157,341742,352902,361854,364630,365503,364102,360014,352791,342412,329522,315184,302029,291310,281229,272737,266704,263310,262701,265110,271298,279888,288863,297334,302478,304079,303761,302000,302000,302000,303000,305000,304000,300000,294000,286000,276000,267000,259000,253000,248000,245000,243000,241000,239000,237000,236000,235000,235000,235000,236000,237000,238000,240000,242000,244000,246000,247000,249000
