Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 00-04, female",SP.POP.0004.FE,Afghanistan,AFG,759655,794087,817067,832731,848149,869440,896210,920281,944211,970007,1000206,1037096,1070135,1100062,1127143,1151246,1184625,1213290,1233771,1239761,1226492,1221630,1199998,1167965,1138152,1125120,1106608,1085839,1077780,1101608,1175562,1256107,1365250,1493356,1616083,1709178,1798944,1865447,1913872,1961354,2024912,2098775,2175604,2252235,2320837,2375309,2437399,2483486,2517713,2545443,2571594,2589382,2596333,2596464,2596833,2601892,2597533,2617791,2653660,2690000,2716000,2761000,2779000,2776000,2769000,2771000,2772000,2779000,2793000,2806000,2815000,2828000,2834000,2834000,2832000,2831000,2831000,2829000,2824000,2817000,2808000,2801000,2791000,2779000,2765000,2749000,2736000,2721000,2703000,2685000,2667000
"Population ages 00-04, female",SP.POP.0004.FE,Albania,ALB,130995,135738,139921,143517,146390,148388,150135,150573,150528,150601,150791,150166,151338,153465,155649,157302,159719,160806,160806,160728,161487,162226,163860,166151,168884,171982,175160,178969,182762,187344,188615,188169,185185,179826,173166,166583,159286,152047,145350,139078,132952,125735,119819,114154,108713,103269,97867,92885,88379,84693,82274,80905,80672,81098,81529,81688,84231,83926,81777,80000,79000,76000,76000,76000,77000,77000,77000,77000,76000,74000,73000,72000,70000,69000,67000,66000,64000,63000,61000,60000,59000,58000,57000,56000,55000,55000,54000,54000,54000,53000,53000
"Population ages 00-04, female",SP.POP.0004.FE,Algeria,DZA,1015506,1031003,1058419,1095176,1133353,1168387,1211196,1240842,1261903,1282999,1311039,1344537,1380465,1419402,1460052,1502580,1553601,1597031,1635557,1673644,1715880,1763808,1804067,1838679,1868827,1895799,1921070,1937029,1945031,1946434,1942316,1932370,1917146,1895286,1863183,1818539,1768084,1702590,1629486,1560469,1503750,1439245,1404596,1396707,1411159,1445069,1503652,1584691,1680454,1781707,1883130,2015622,2115040,2187284,2238657,2274267,2296424,2285761,2252959,2212000,2173000,2093000,2055000,2043000,2034000,2011000,1999000,1970000,1929000,1889000,1859000,1837000,1822000,1814000,1811000,1811000,1820000,1831000,1844000,1859000,1877000,1902000,1925000,1946000,1966000,1984000,2003000,2018000,2028000,2034000,2035000
"Population ages 00-04, female",SP.POP.0004.FE,Angola,AGO,535166,531081,535570,546262,556458,562073,570608,569132,563023,560853,569335,586559,608811,635874,665705,697446,732356,762720,790529,818745,850531,886287,916825,945021,973654,1004602,1041112,1078718,1117068,1155936,1196960,1243750,1281693,1314692,1346960,1381849,1424089,1461922,1498406,1538267,1587363,1643693,1699721,1758191,1820982,1889925,1970810,2047069,2120050,2190976,2261963,2338026,2402429,2459711,2515444,2573843,2629847,2690823,2755932,2823000,2891000,2965000,3036000,3106000,3177000,3252000,3334000,3413000,3492000,3570000,3651000,3737000,3820000,3900000,3981000,4062000,4147000,4229000,4309000,4388000,4468000,4551000,4630000,4707000,4783000,4859000,4938000,5014000,5087000,5160000,5233000
"Population ages 00-04, female",SP.POP.0004.FE,Antigua and Barbuda,ATG,4391,4339,4322,4346,4388,4439,4493,4582,4678,4743,4745,4751,4658,4494,4294,4083,3859,3625,3399,3211,3071,2909,2900,2990,3099,3183,3392,3472,3476,3472,3486,3266,3150,3107,3109,3144,3199,3323,3487,3641,3735,3880,3936,3918,3874,3847,3834,3815,3799,3782,3766,3747,3738,3737,3739,3742,3752,3757,3756,3800,3800,3800,3800,3800,3700,3700,3700,3700,3700,3700,3600,3600,3600,3500,3500,3500,3400,3400,3400,3400,3300,3300,3300,3300,3300,3200,3200,3200,3200,3200,3200
"Population ages 00-04, female",SP.POP.0004.FE,Argentina,ARG,1101621,1107711,1115831,1125433,1135092,1143870,1155041,1164662,1174389,1187235,1205539,1226647,1253221,1285184,1322861,1366474,1419941,1480102,1540895,1591703,1625776,1665686,1666142,1641490,1615322,1604047,1571343,1578614,1612888,1650322,1674454,1714063,1731235,1730769,1724578,1721143,1718396,1711522,1704155,1699004,1698186,1692489,1702284,1721646,1741270,1754590,1775490,1781989,1778790,1774933,1771948,1771904,1780250,1794113,1806974,1814399,1824250,1826287,1822384,1815000,1810000,1802000,1798000,1796000,1794000,1791000,1789000,1786000,1781000,1777000,1772000,1769000,1765000,1761000,1756000,1751000,1748000,1744000,1740000,1735000,1730000,1726000,1722000,1717000,1712000,1706000,1702000,1697000,1692000,1686000,1679000
"Population ages 00-04, female",SP.POP.0004.FE,Armenia,ARM,158086,165117,169224,170697,170220,168240,163773,157879,151405,145714,141785,136296,136256,139979,144576,147797,153279,156093,157011,157961,160278,162966,167157,172320,177390,181861,188279,192464,194163,192929,188261,182745,174234,163550,152045,140951,128229,116674,106553,98201,91788,85385,82923,83320,84849,86206,90212,92123,92506,92648,93715,95680,96679,97173,97239,96872,95104,93398,91675,90000,88000,85000,83000,81000,79000,77000,76000,74000,72000,71000,69000,68000,67000,67000,66000,66000,66000,66000,67000,67000,67000,68000,68000,68000,68000,68000,68000,67000,67000,66000,65000
"Population ages 00-04, female",SP.POP.0004.FE,Aruba,ABW,4306,4277,4264,4250,4208,4124,4066,3929,3747,3571,3434,3219,3110,3074,3045,2974,2964,2865,2709,2579,2558,2668,2812,2985,3119,3146,3158,2995,2725,2495,2451,2497,2657,2919,3193,3379,3533,3589,3556,3482,3412,3359,3293,3221,3149,3095,3101,3144,3207,3256,3257,3220,3122,2979,2843,2753,2648,2640,2697,2800,2800,2900,3000,3000,3000,3000,3000,3000,3100,3100,3100,3200,3200,3200,3100,3100,3100,3000,3000,3000,2900,2900,2900,2800,2800,2800,2700,2700,2700,2700,2700
"Population ages 00-04, female",SP.POP.0004.FE,Australia,AUS,532941,545824,556051,559524,562733,568141,575113,575864,580000,586371,591387,605464,613851,620470,629285,624263,625584,611389,588173,566393,554885,537381,540869,556178,572851,585031,607945,616178,615448,613970,615636,614254,618662,625578,631782,634512,639220,637517,631667,625979,622113,615933,612461,612500,615611,623702,633137,643556,666882,690447,706627,725515,737598,743076,746199,752481,757323,771181,789427,804000,813000,823000,826000,823000,818000,815000,810000,809000,811000,813000,813000,815000,816000,816000,817000,818000,822000,827000,834000,840000,846000,856000,864000,872000,879000,886000,895000,903000,910000,916000,921000
"Population ages 00-04, female",SP.POP.0004.FE,Austria,AUT,283266,297018,305340,309720,312290,314501,314785,314606,312935,308908,302319,293001,282628,271232,259004,246527,232376,222824,216171,211382,208283,208461,209857,211568,213277,214120,217959,216158,211211,207418,207728,207247,212490,220817,227350,228882,229640,224981,216305,207480,201273,193066,190089,190875,192748,193313,194423,193732,191874,190084,189350,188895,189521,191189,193571,196610,200282,203604,206754,209000,210000,212000,213000,213000,212000,211000,210000,208000,207000,206000,204000,202000,200000,198000,197000,195000,193000,192000,191000,190000,189000,189000,189000,189000,190000,190000,191000,192000,192000,193000,194000
