Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 15-64, male",SP.POP.1564.MA.IN,Afghanistan,AFG,2611251,2636745,2668199,2704698,2745702,2791185,2824864,2864055,2909668,2963233,3025382,3079897,3142545,3209899,3278256,3345194,3391629,3435432,3468573,3482181,3472674,3403224,3310628,3207911,3110657,3029826,2972192,2941758,2948754,3004485,3111522,3312053,3578906,3876922,4164713,4418461,4588316,4711111,4816856,4943155,5112245,5355585,5650160,5970715,6284421,6571250,6752389,6901721,7042873,7207872,7417635,7724346,8084944,8482622,8891544,9293537,9655272,9998883,10335000,10682000,11048000,11408000,11790000,12186000,12580000,12966000,13344000,13713000,14076000,14442000,14814000,15181000,15552000,15928000,16302000,16673000,17034000,17392000,17747000,18100000,18449000,18785000,19119000,19449000,19775000,20096000,20404000,20707000,21005000,21298000,21585000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Albania,ALB,457350,469081,480658,492183,504401,517480,530523,545433,563153,582408,600556,619150,638647,658140,678593,700666,721775,744764,767942,790688,813605,835800,858580,881476,904817,928466,951368,975437,998132,1027928,1047514,1026503,1003390,980448,960143,943983,948332,955624,964101,971601,976854,973804,975386,975380,974986,974432,973866,971918,969848,968581,968732,979382,989988,999226,1006532,1010639,1009659,1008642,1008000,1005000,1000000,994000,986000,976000,967000,958000,949000,941000,933000,926000,920000,913000,908000,902000,897000,892000,887000,882000,877000,872000,867000,861000,856000,850000,844000,837000,830000,821000,813000,803000,794000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Algeria,DZA,2888554,2925280,2953694,2982521,3024536,3086279,3155968,3248948,3358516,3473745,3588519,3692068,3795890,3902827,4018173,4144770,4267910,4403643,4550808,4707365,4872204,5038788,5217826,5408211,5609438,5821151,6035112,6259542,6493068,6734615,6983387,7229812,7483173,7743261,8010229,8284138,8556042,8836474,9123011,9410546,9695388,9992270,10279148,10559680,10837493,11111633,11365178,11606043,11836171,12057880,12271296,12459528,12655250,12845687,13018927,13171859,13309069,13441861,13574000,13713000,13864000,14064000,14259000,14462000,14686000,14933000,15181000,15454000,15741000,16022000,16284000,16532000,16762000,16974000,17174000,17363000,17540000,17704000,17853000,17984000,18095000,18188000,18265000,18326000,18370000,18400000,18419000,18427000,18428000,18423000,18414000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Angola,AGO,1432805,1447584,1459788,1472371,1490623,1517027,1534224,1561113,1595659,1634042,1674235,1708210,1746576,1788938,1835757,1887170,1930134,1979328,2034679,2096318,2164325,2227595,2300905,2380565,2462388,2544385,2610357,2675716,2744647,2822692,2912832,2998163,3100169,3213499,3331267,3449902,3548880,3651241,3760166,3879994,4013013,4143276,4289392,4448619,4617647,4794289,4958471,5133349,5318337,5513597,5719477,5920666,6136483,6364287,6601364,6846773,7090693,7343883,7609000,7889000,8186000,8486000,8803000,9136000,9483000,9842000,10196000,10565000,10947000,11341000,11746000,12147000,12562000,12989000,13429000,13880000,14328000,14790000,15266000,15754000,16255000,16752000,17263000,17789000,18328000,18881000,19430000,19994000,20572000,21163000,21765000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Antigua and Barbuda,ATG,13418,13635,13951,14330,14743,15174,15625,16079,16530,16986,17441,17818,18202,18583,18972,19367,19834,20328,20819,21245,21564,21780,21805,21703,21554,21405,21133,20856,20569,20251,19959,20269,20696,21223,21831,22473,23137,23713,24200,24624,25044,25594,26163,26702,27162,27543,28043,28521,28997,29504,30059,30589,31164,31754,32319,32841,33291,33709,34000,34000,35000,35000,35000,36000,36000,36000,36000,36000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,37000,38000,38000,38000,38000,38000,39000,39000,39000,39000,39000,39000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Arab World,ARB,24609239,25097596,25626919,26204735,26843784,27551760,28223023,28987336,29824780,30710497,31634243,32493901,33414944,34412358,35505972,36706069,38004699,39411781,40905436,42461318,44062132,45605484,47198267,48840508,50532653,52276743,53968726,55728119,57540306,59405728,61828781,63810236,65120439,67317168,69561366,72488250,74670086,76875327,79107840,81420830,83853995,86508346,89278916,92182679,95239493,98452901,101822806,105367030,108983758,112534502,115929710,119062152,122028095,124859899,127641642,130436582,133101937,135885820,138728000,141553000,144345000,147256000,150093000,152910000,155812000,158842000,161830000,164964000,168184000,171388000,174515000,177520000,180478000,183372000,186214000,189019000,191690000,194337000,196943000,199483000,201960000,204309000,206631000,208914000,211167000,213397000,215565000,217725000,219878000,222014000,224125000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Argentina,ARG,6689074,6777662,6870735,6967774,7067760,7169981,7261591,7356304,7455640,7561078,7673129,7785019,7904083,8025417,8141851,8248132,8317614,8371715,8419128,8473552,8544066,8614939,8717785,8840751,8966745,9087313,9220671,9338595,9453640,9584395,9738688,9881174,10048917,10232579,10416600,10592962,10751019,10905760,11058432,11213298,11372806,11536474,11698153,11860601,12027435,12199555,12354914,12520867,12692285,12861204,13023894,13178858,13327701,13473427,13621957,13775816,13916930,14065085,14218000,14371000,14522000,14665000,14806000,14948000,15091000,15237000,15375000,15515000,15657000,15800000,15940000,16071000,16202000,16330000,16455000,16575000,16684000,16791000,16891000,16982000,17061000,17122000,17173000,17218000,17262000,17310000,17357000,17407000,17459000,17509000,17553000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Armenia,ARM,484272,493270,503878,516316,530762,547451,566039,587668,612053,638336,665858,697112,727387,757233,787687,819042,847293,876743,906217,934067,959624,982083,1001419,1018693,1035582,1052733,1070229,1087783,1101710,1107334,1102298,1080255,1047555,1009347,972440,941498,924047,913783,909224,907567,906578,909794,912454,914715,917095,919756,919474,919320,919224,919019,918876,920589,924019,928218,932139,935028,935722,935174,934000,932000,930000,927000,924000,922000,919000,918000,916000,916000,916000,916000,917000,918000,919000,920000,921000,921000,921000,920000,918000,916000,913000,909000,904000,898000,892000,885000,876000,867000,858000,847000,836000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Aruba,ABW,14163,14577,14848,15030,15192,15393,15585,15834,16109,16375,16620,16953,17254,17538,17838,18151,18296,18479,18723,19008,19327,19657,20042,20398,20672,20815,20608,20327,20131,20200,20623,21729,23169,24770,26315,27637,28419,28977,29387,29760,30183,30774,31396,32021,32600,33070,33263,33316,33288,33230,33189,33359,33579,33826,34064,34249,34421,34521,35000,35000,35000,35000,35000,34000,34000,34000,34000,34000,33000,33000,33000,33000,33000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,32000,33000,33000,33000
"Population ages 15-64, male",SP.POP.1564.MA.IN,Australia,AUS,3223386,3281603,3365915,3440840,3520076,3599121,3690689,3744880,3816733,3902885,3989638,4136136,4222965,4299185,4423304,4495892,4547544,4616305,4693119,4765607,4841330,4945795,5046670,5122394,5194275,5283168,5374713,5469851,5576115,5682275,5769514,5839548,5898346,5940554,5992803,6063047,6139133,6211293,6283583,6361991,6441058,6539967,6629300,6719273,6805596,6903995,7025546,7086678,7240719,7392461,7499424,7566688,7660653,7752279,7825596,7895139,7975202,8064397,8122000,8181000,8244000,8300000,8362000,8428000,8492000,8553000,8615000,8672000,8728000,8787000,8851000,8918000,8991000,9067000,9140000,9208000,9274000,9336000,9395000,9455000,9517000,9583000,9652000,9722000,9786000,9843000,9895000,9941000,9982000,10021000,10057000
