Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 80 and above, female",SP.POP.80UP.FE,Afghanistan,AFG,7487,8357,9032,9440,9485,9081,10058,10794,11216,11255,10834,11949,12807,13317,13371,12890,14121,14881,15004,14347,12835,13800,14060,13442,11850,9165,9878,10418,10702,10670,10208,11690,13471,15459,17479,19388,21606,23165,24138,24719,25019,27277,29336,30954,31854,31907,34424,36280,37475,38113,38275,41095,43532,45459,46731,47284,51292,54657,57223,59000,60000,64000,68000,71000,74000,76000,84000,92000,98000,103000,105000,112000,118000,122000,124000,126000,134000,141000,147000,150000,152000,163000,172000,179000,185000,189000,203000,215000,225000,233000,240000
"Population ages 80 and above, female",SP.POP.80UP.FE,Albania,ALB,8389,8825,9219,9579,9919,10236,10776,11258,11637,11799,11675,11883,11846,11656,11454,11314,11930,12543,13011,13206,13116,13564,13790,13879,13962,14094,14955,15775,16487,17219,17712,18577,19286,19808,20083,20082,20996,21593,21894,21925,21711,22367,23015,23539,23995,24405,25775,27034,28196,29251,30247,31897,33252,34410,35676,37317,40032,42985,45885,49000,51000,54000,57000,59000,61000,62000,64000,65000,66000,67000,69000,72000,75000,78000,81000,85000,90000,95000,100000,105000,110000,115000,120000,124000,128000,131000,134000,136000,138000,139000,140000
"Population ages 80 and above, female",SP.POP.80UP.FE,Algeria,DZA,15433,16701,17456,17746,17697,17303,19236,21032,22293,22565,21728,23048,23613,23934,24625,25788,30134,34540,38204,40361,40813,43814,45752,47020,48160,49349,54508,59396,63435,66099,67296,71792,74963,76996,78248,78917,85281,91398,96791,100871,103486,110080,115279,119683,124050,128783,138337,147630,156756,165937,175413,188875,202023,214753,227134,239449,256190,272389,287628,301000,313000,330000,344000,357000,367000,377000,391000,404000,416000,431000,451000,482000,515000,549000,582000,614000,651000,687000,721000,757000,797000,843000,890000,937000,985000,1034000,1089000,1143000,1195000,1248000,1303000
"Population ages 80 and above, female",SP.POP.80UP.FE,Angola,AGO,6122,6626,6941,6994,6720,6087,6417,6559,6535,6378,6062,6769,7413,7913,8169,8096,8990,9709,10187,10386,10256,11224,12012,12557,12807,12728,13954,14920,15559,15828,15655,17116,18296,19111,19495,19399,21220,22713,23761,24284,24204,26298,28015,29299,30148,30551,33228,35563,37427,38732,39436,42505,45109,47182,48709,49703,53231,56171,58440,60000,61000,65000,68000,71000,72000,73000,77000,79000,81000,84000,88000,97000,106000,114000,121000,126000,136000,144000,151000,157000,161000,172000,182000,190000,196000,201000,214000,225000,234000,242000,249000
"Population ages 80 and above, female",SP.POP.80UP.FE,Antigua and Barbuda,ATG,305,321,326,325,320,315,324,332,334,333,325,327,323,316,309,304,315,322,331,340,344,364,381,397,412,421,446,474,508,551,603,632,660,692,729,768,790,806,811,806,778,788,798,821,858,894,905,902,892,881,866,874,879,881,886,888,913,935,958,1000,1000,1000,1100,1100,1200,1200,1200,1200,1200,1200,1200,1300,1400,1500,1600,1700,1800,1900,2000,2200,2300,2500,2600,2800,3000,3200,3500,3800,4000,4300,4500
"Population ages 80 and above, female",SP.POP.80UP.FE,Argentina,ARG,75110,79961,84166,87780,90986,93955,101388,108157,114026,118831,122647,131399,138914,145265,150654,155322,166569,176486,185066,192507,199139,212932,225593,237054,247247,256341,274485,290220,303701,315374,325666,345714,363811,379677,392939,403800,425966,445380,462575,478257,493050,519145,542431,563309,582438,600530,629348,655953,680060,701149,717515,743467,765198,783371,798756,812251,832318,848831,862895,875000,887000,908000,926000,943000,961000,980000,1008000,1034000,1060000,1087000,1116000,1151000,1185000,1218000,1251000,1285000,1322000,1356000,1388000,1420000,1452000,1487000,1518000,1548000,1577000,1607000,1639000,1668000,1696000,1726000,1762000
"Population ages 80 and above, female",SP.POP.80UP.FE,Armenia,ARM,13178,13970,14532,14840,15004,15143,16406,17579,18371,18535,18098,18588,18757,18680,18465,18198,18452,18572,18608,18708,18991,20336,21651,22780,23665,24364,25466,26241,26608,26565,26153,27597,28894,29770,29955,29421,29383,28933,28285,27693,27297,28261,28782,29011,29369,30122,33558,37330,40669,42819,43611,45181,45780,46102,47046,48950,53243,58170,62522,65000,65000,64000,62000,59000,56000,54000,55000,55000,56000,57000,58000,61000,64000,67000,70000,74000,80000,87000,93000,99000,105000,111000,117000,121000,125000,127000,129000,130000,130000,130000,129000
"Population ages 80 and above, female",SP.POP.80UP.FE,Aruba,ABW,108,113,120,117,114,113,119,126,131,138,141,161,182,211,244,283,303,327,353,373,397,410,430,444,457,481,508,535,559,595,634,652,671,692,710,719,757,793,844,891,933,935,923,907,888,867,903,939,982,1036,1101,1154,1207,1261,1309,1355,1437,1521,1592,1700,1700,1800,1800,1900,1900,2000,2100,2200,2300,2500,2600,2700,2900,3100,3200,3400,3600,3800,4000,4100,4300,4600,4800,5000,5200,5300,5400,5500,5600,5600,5600
"Population ages 80 and above, female",SP.POP.80UP.FE,Australia,AUS,82241,86845,91387,95257,99050,102622,108153,111270,113592,115070,115362,123719,130073,135983,143068,147704,154405,160181,165051,168850,171990,179861,186649,191867,196575,201795,210433,218338,226353,234695,242972,256805,270447,283136,295111,306253,318714,328282,336526,345744,356990,374080,391402,408940,425352,441157,456601,466025,480271,493708,504055,513731,524224,534921,545203,555985,567336,577719,586946,595000,606000,620000,635000,651000,672000,698000,729000,764000,800000,837000,875000,910000,943000,977000,1012000,1051000,1087000,1122000,1158000,1196000,1236000,1272000,1306000,1339000,1371000,1405000,1430000,1451000,1472000,1496000,1527000
"Population ages 80 and above, female",SP.POP.80UP.FE,Austria,AUT,77536,82767,86965,89996,91860,92635,98249,102692,105508,106689,106545,112222,116685,119793,121286,121274,128020,133689,137758,140297,141836,150195,156737,161327,164719,166993,175360,182204,187613,192026,195578,205882,215312,221857,223412,219869,218175,212330,205327,200978,200990,210548,222717,235424,246661,255273,265021,271798,276453,279133,280183,281567,281311,280829,281465,284206,290126,294585,298569,302000,307000,317000,327000,337000,346000,354000,362000,368000,374000,379000,384000,389000,393000,397000,402000,410000,420000,431000,443000,457000,472000,488000,504000,521000,539000,557000,573000,589000,603000,617000,628000
"Population ages 80 and above, female",SP.POP.80UP.FE,Azerbaijan,AZE,22540,23670,24357,24704,24903,25043,26666,28301,29555,29925,29266,29591,29221,28591,28182,28124,29741,31277,32649,33798,34670,37533,40378,42937,44910,46143,48128,49376,50174,50840,50885,52381,53676,54340,53749,51709,51245,49628,47112,44018,40603,40830,40831,40735,40688,40649,43993,47131,50255,52759,54184,58274,61776,64978,68400,72203,78497,84930,90293,93000,93000,94000,92000,89000,86000,83000,83000,83000,83000,85000,87000,93000,101000,108000,117000,126000,139000,152000,165000,179000,193000,210000,227000,243000,256000,266000,278000,288000,294000,298000,300000
"Population ages 80 and above, female",SP.POP.80UP.FE,"Bahamas, The",BHS,362,381,401,417,432,442,465,487,503,518,518,544,556,571,592,611,645,676,704,727,741,790,826,852,876,896,957,1014,1061,1097,1131,1222,1301,1355,1390,1406,1482,1566,1656,1752,1840,1935,2024,2116,2226,2350,2487,2615,2731,2850,2962,3123,3284,3449,3629,3820,4064,4318,4567,4800,5000,5300,5500,5700,5900,6100,6500,6800,7100,7500,7900,8400,8900,9400,9900,10000,11000,12000,12000,13000,14000,14000,15000,16000,16000,17000,18000,18000,18000,19000,19000
