Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
"Population ages 80 and above, male",SP.POP.80UP.MA,Afghanistan,AFG,8295,9279,10008,10366,10246,9530,10564,11299,11647,11533,10837,12021,12915,13358,13212,12365,13507,14156,14161,13409,11813,12845,13290,12935,11649,9297,9888,10256,10352,10127,9458,10635,12070,13647,15187,16570,18383,19536,20095,20258,20094,21995,23695,24964,25558,25312,27673,29426,30483,30837,30521,32766,34611,35937,36575,36404,39656,42234,44043,45000,45000,50000,53000,56000,57000,58000,64000,68000,72000,74000,75000,81000,86000,90000,92000,93000,100000,107000,111000,114000,115000,124000,132000,138000,142000,144000,155000,165000,173000,178000,181000
"Population ages 80 and above, male",SP.POP.80UP.MA,Albania,ALB,6824,7166,7446,7681,7904,8112,8540,8934,9224,9278,9028,9041,8827,8474,8122,7819,8293,8760,9103,9219,9101,9515,9745,9816,9782,9655,10285,10809,11162,11429,11421,12096,12519,12657,12518,12109,12721,13265,13637,13691,13343,13744,13898,13856,13818,13861,15175,16504,17789,19001,20194,22217,24029,25617,27085,28558,31092,33510,35576,37000,39000,41000,43000,44000,45000,45000,47000,48000,49000,49000,50000,52000,54000,57000,59000,61000,65000,69000,73000,77000,80000,84000,88000,91000,94000,96000,98000,99000,100000,100000,100000
"Population ages 80 and above, male",SP.POP.80UP.MA,Algeria,DZA,14889,16227,17050,17339,17126,16366,18012,19383,20215,20236,19338,20926,21902,22459,22881,23151,26393,29379,31599,32587,32201,34647,36259,37163,37557,37472,41072,44263,46673,47990,48149,51706,54471,56646,58511,60164,65899,71333,76116,79860,82458,89008,94494,99205,103564,107811,117055,125960,134758,143964,153998,167784,181542,194662,206550,217149,231276,244193,255683,265000,273000,286000,297000,306000,314000,322000,336000,348000,360000,375000,395000,426000,459000,492000,524000,553000,587000,619000,648000,677000,706000,745000,782000,818000,852000,886000,932000,975000,1016000,1055000,1095000
"Population ages 80 and above, male",SP.POP.80UP.MA,Angola,AGO,3573,3947,4197,4253,4053,3566,3822,3943,3942,3832,3572,4080,4544,4882,5021,4888,5511,6005,6319,6415,6241,6937,7487,7840,7957,7792,8700,9408,9844,9929,9591,10571,11315,11747,11801,11419,12603,13528,14117,14282,13950,15368,16534,17364,17814,17840,19626,21143,22325,23130,23523,25847,27856,29465,30621,31292,34064,36384,38139,39000,40000,43000,45000,47000,48000,48000,51000,53000,55000,56000,59000,65000,72000,77000,82000,85000,92000,98000,103000,106000,108000,116000,123000,129000,133000,135000,144000,152000,158000,163000,166000
"Population ages 80 and above, male",SP.POP.80UP.MA,Antigua and Barbuda,ATG,103,101,101,96,96,93,94,94,95,95,88,84,77,67,65,61,63,67,70,75,83,96,113,126,137,148,162,176,197,228,268,299,330,357,385,408,439,464,487,504,504,507,506,515,531,555,568,576,573,562,538,539,531,519,506,493,513,530,547,600,600,600,600,600,600,600,600,600,600,600,700,700,800,900,900,1000,1100,1200,1300,1400,1400,1500,1600,1700,1800,1900,2100,2300,2400,2600,2700
"Population ages 80 and above, male",SP.POP.80UP.MA,Argentina,ARG,50839,55272,58899,61592,63383,64291,70769,76250,80317,82725,83490,90779,96588,100523,102352,102080,110120,116143,120006,121888,121997,131507,139478,145309,148484,148866,160289,168973,174598,177197,176902,188406,197538,203716,206465,205777,217499,226348,232304,235647,236621,251307,263166,271869,277489,280220,296062,309202,318899,324447,324814,340324,352137,360009,363894,363949,377991,388643,395954,400000,401000,417000,430000,440000,448000,454000,476000,495000,512000,526000,537000,563000,586000,605000,621000,634000,663000,687000,708000,725000,738000,768000,793000,814000,832000,846000,877000,904000,928000,950000,971000
"Population ages 80 and above, male",SP.POP.80UP.MA,Armenia,ARM,8079,8596,8943,9134,9228,9263,10067,10785,11244,11313,10991,11451,11690,11734,11627,11416,11684,11850,11922,11935,11923,12587,13163,13627,13975,14221,14866,15239,15268,14905,14178,14787,15234,15348,14955,14058,13691,13111,12432,11743,11096,11418,11558,11752,12346,13460,16218,19227,21942,23835,24764,26128,26812,27193,27741,28563,31195,33967,36118,37000,36000,35000,34000,31000,29000,28000,28000,28000,29000,29000,29000,31000,32000,34000,36000,38000,41000,45000,48000,51000,53000,56000,59000,61000,62000,62000,62000,63000,62000,61000,60000
"Population ages 80 and above, male",SP.POP.80UP.MA,Aruba,ABW,60,63,68,66,64,64,66,70,71,74,75,85,96,108,121,135,151,166,184,201,219,235,251,269,287,303,333,361,386,410,428,438,448,465,479,484,493,490,481,478,474,499,519,538,552,561,583,597,605,616,625,665,694,721,739,748,797,837,870,900,900,1000,1000,1000,1100,1100,1200,1200,1300,1400,1400,1500,1600,1700,1700,1800,1900,2000,2100,2200,2300,2400,2600,2700,2800,2800,2900,2900,3000,3000,2900
"Population ages 80 and above, male",SP.POP.80UP.MA,Australia,AUS,49042,51856,54227,55720,56670,56897,60566,62634,63719,63460,61436,65625,67943,69143,70038,68834,72019,74324,75741,76246,75983,81244,85718,88891,91073,92695,99447,105368,110697,115452,119325,129264,138393,145961,151957,156458,165632,172122,176488,180180,184286,198877,213655,228329,242086,255237,272357,285487,300560,313498,322497,335495,348130,360178,371458,382780,398581,413455,426955,439000,451000,469000,486000,504000,524000,547000,578000,609000,641000,672000,701000,731000,758000,783000,808000,835000,863000,890000,916000,942000,970000,1001000,1030000,1057000,1082000,1105000,1127000,1144000,1159000,1176000,1197000
"Population ages 80 and above, male",SP.POP.80UP.MA,Austria,AUT,44480,47218,49083,49886,49495,47844,50479,52183,52596,51565,49143,51399,52768,53164,52425,50488,53647,55944,57163,57392,56763,61504,65195,67454,68376,67888,72369,75712,77880,79050,79252,84569,89185,91820,91203,87240,86647,83973,80530,77862,76525,81355,86695,91964,96889,101325,108902,115809,121888,126625,129941,135079,139227,142997,147074,152035,160449,167838,174799,181000,189000,199000,210000,221000,230000,237000,246000,253000,259000,264000,268000,274000,279000,284000,289000,296000,307000,318000,329000,342000,356000,372000,388000,404000,420000,436000,451000,465000,478000,488000,496000
