Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Rural population,SP.RUR.TOTL,Afghanistan,AFG,8240568,8370722,8506983,8649584,8798513,8954113,9113443,9276243,9446564,9630591,9830708,10045288,10267247,10487178,10692756,10872845,11033155,11170524,11255648,11251875,11129293,10891958,10563463,10190545,9834662,9544624,9321784,9166090,9117532,9293947,9655119,10230426,10995539,11858106,12690086,13401936,13952823,14373496,14733726,15137584,15657457,16318408,17086972,17909165,18692209,19378975,19962037,20464853,20929063,21415472,21966159,22593984,23280573,23997724,24703806,25368831,25985093,26558736,27100000,27626000,28151000,28674000,29191000,29701000,30200000,30684000,31154000,31609000,32050000,32474000,32882000,33271000,33641000,33991000,34320000,34628000,34913000,35175000,35412000,35624000,35811000,35971000,36108000,36222000,36315000,36386000,36437000,36466000,36474000,36462000,36430000
Rural population,SP.RUR.TOTL,Albania,ALB,1114818,1146208,1180553,1214693,1248887,1282417,1315273,1348911,1386348,1424962,1457678,1489206,1522477,1554419,1585958,1618163,1649474,1681437,1711648,1740858,1769877,1798543,1829633,1861315,1893194,1924635,1954134,1985256,2014614,2060783,2089320,2067878,2037549,2007405,1977318,1947385,1917515,1887867,1858316,1828925,1799636,1761589,1723790,1684768,1645111,1604189,1561661,1517619,1473922,1432259,1393502,1358266,1324613,1291587,1258985,1226200,1195854,1167112,1141000,1116000,1090000,1066000,1042000,1019000,996000,974000,952000,931000,911000,891000,871000,852000,833000,815000,798000,780000,764000,747000,732000,716000,701000,685000,670000,654000,639000,625000,610000,596000,582000,568000,554000
Rural population,SP.RUR.TOTL,Algeria,DZA,7730685,7778456,7807386,7830848,7852083,7873788,7938731,8145526,8360848,8580865,8802771,9026182,9252243,9483131,9721785,9970319,10228708,10449945,10600666,10756482,10917687,11084688,11254291,11423155,11586446,11741492,11885587,12025440,12170083,12300991,12415911,12514790,12596534,12659697,12700901,12718758,12713378,12688756,12646057,12577598,12498723,12411925,12317773,12221309,12127479,12040428,11959746,11885662,11818828,11765411,11723785,11695364,11677344,11664124,11647553,11623348,11589373,11547594,11498000,11443000,11382000,11317000,11248000,11174000,11096000,11016000,10933000,10848000,10762000,10676000,10590000,10506000,10424000,10344000,10267000,10189000,10109000,10029000,9947000,9865000,9782000,9699000,9615000,9531000,9445000,9358000,9271000,9182000,9092000,9000000,8905000
Rural population,SP.RUR.TOTL,American Samoa,ASM,6762,6834,6954,7113,7282,7448,7600,7745,7876,7990,8083,8156,8211,8247,8266,8275,8266,8249,8243,8276,8332,8359,8426,8523,8629,8726,8818,8898,8960,8999,8962,8763,8535,8291,8037,7782,7527,7268,7006,6738,6565,6695,6816,6918,6994,7035,7038,7006,6958,6918,6902,6914,6948,6997,7047,7088,7118,7139,7200,7200,7200,7200,7200,7200,7200,7100,7100,7100,7100,7000,7000,6900,6900,6800,6700,6700,6600,6500,6400,6300,6200,6100,6000,5900,5800,5700,5600,5500,5400,5300,5200
Rural population,SP.RUR.TOTL,Andorra,AND,5572,5609,5616,5601,5554,5482,5385,5264,5125,4975,4818,4657,4491,4315,4123,3914,3692,3467,3246,3044,2862,2700,2553,2416,2285,2159,2175,2337,2508,2690,2882,3100,3342,3591,3830,4047,4232,4387,4537,4721,4973,5350,5855,6435,7052,7662,8255,8840,9221,9365,9442,9442,9372,9261,9157,9093,9082,9120,9200,9300,9300,9400,9400,9500,9500,9500,9600,9600,9600,9500,9500,9500,9500,9400,9400,9300,9200,9100,9100,9000,8800,8700,8600,8500,8300,8200,8100,7900,7800,7700,7500
Rural population,SP.RUR.TOTL,Angola,AGO,5054316,5131812,5208828,5285253,5358588,5427638,5491708,5552756,5614896,5683702,5762838,5844398,5927379,6018145,6113859,6212974,6313529,6416325,6523176,6637379,6760113,6892982,7032153,7168502,7290218,7390471,7465293,7518708,7559726,7601247,7650481,7710327,7775949,7839710,7889542,7966522,8024455,8068833,8107208,8150809,8206158,8275266,8353862,8438172,8522210,8603118,8760651,8918978,9077595,9237647,9398363,9559552,9720241,9878849,10032988,10183690,10329915,10472420,10613000,10752000,10890000,11029000,11168000,11306000,11445000,11583000,11721000,11860000,11998000,12136000,12275000,12414000,12553000,12693000,12833000,12974000,13115000,13257000,13400000,13546000,13692000,13835000,13973000,14108000,14237000,14362000,14482000,14598000,14709000,14814000,14914000
Rural population,SP.RUR.TOTL,Antigua and Barbuda,ATG,33394,34225,35185,36249,37375,38529,39710,40919,42136,43339,44406,45074,45671,46204,46682,47107,47493,47823,48059,48133,48018,47714,47251,46666,46014,45344,44656,43975,43411,43078,43068,43437,44419,45663,47095,48617,50225,51913,53616,55244,56731,58060,59439,60700,61924,63175,64469,65792,67134,68484,69824,71116,72074,73026,73983,74942,75878,76802,78000,79000,79000,80000,81000,82000,83000,83000,84000,85000,85000,86000,86000,87000,87000,87000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,88000,87000,87000,87000,86000
Rural population,SP.RUR.TOTL,Arab World,ARB,63548693,64597544,65661863,66724124,67780054,68815652,69925569,71188406,72454903,73703104,74916014,76112810,77263535,78455046,79835396,81407598,83180504,85153422,87239187,89362180,91433113,93442906,95419889,97318389,99121314,100951702,102774744,104700839,106763453,108910928,111693681,113858778,115976698,118198368,120601450,123082641,125460027,127675587,129741765,131781717,133850793,135926006,138040837,140166765,142341570,144451030,146585944,149192240,151388577,153582360,155729834,158110693,160620699,163096958,165543601,167702835,169845860,171949780,174025000,176102000,178184000,180285000,182375000,184422000,186367000,188185000,189857000,191394000,192805000,194112000,195321000,196441000,197460000,198384000,199208000,199942000,200590000,201147000,201613000,201982000,202244000,202402000,202457000,202443000,202343000,202166000,201909000,201573000,201161000,200668000,200101000
Rural population,SP.RUR.TOTL,Argentina,ARG,5441168,5402332,5371521,5338649,5303191,5265788,5225334,5183137,5140510,5100310,5063110,5038736,5020282,5002840,4983497,4960806,4933753,4903994,4872077,4840364,4809761,4763031,4708913,4655616,4601536,4546770,4491272,4434889,4377289,4319123,4260103,4206333,4192759,4177905,4160797,4141986,4120726,4097973,4073917,4048879,4023698,3998585,3974595,3951229,3927090,3902414,3876771,3850731,3824212,3798017,3772398,3753285,3737769,3722669,3706296,3689207,3671345,3652804,3633000,3612000,3590000,3568000,3544000,3520000,3495000,3469000,3443000,3415000,3388000,3359000,3330000,3300000,3269000,3238000,3207000,3175000,3143000,3110000,3077000,3044000,3010000,2975000,2941000,2907000,2872000,2838000,2803000,2768000,2734000,2699000,2664000
Rural population,SP.RUR.TOTL,Armenia,ARM,913165,929062,944095,957991,970440,981338,990460,997847,1003797,1008765,1013460,1018081,1021894,1024753,1026286,1030812,1033920,1035803,1036535,1041605,1052365,1062198,1070939,1079261,1088090,1097856,1109403,1121847,1131792,1142633,1152699,1151475,1140328,1123073,1105543,1092062,1084131,1080789,1081014,1082793,1084608,1086491,1085043,1082276,1079080,1075102,1069823,1063555,1057429,1053178,1051945,1054188,1059395,1065853,1072046,1076792,1079784,1081248,1081000,1080000,1078000,1075000,1071000,1066000,1059000,1052000,1044000,1035000,1025000,1013000,1002000,989000,976000,962000,947000,932000,916000,900000,884000,867000,851000,835000,819000,803000,787000,772000,756000,741000,726000,710000,695000
